Name	Artist	Album	Track Number
Intro	The xx	xx (Bonus Track Version)	1
Crystalised	The xx	xx (Bonus Track Version)	3
Islands	The xx	xx (Bonus Track Version)	4
The Hearse	Wampire	Curiosity	1
Spirit Forest	Wampire	Curiosity	3
Giants	Wampire	Curiosity	4
The Amazing Heart Attack	Wampire	Bazaar	1
Rawnald Gregory Erickson the Second	STRFKR	Starfucker	5
Florida	STRFKR	Starfucker	1
German Love	STRFKR	Starfucker	2
Atlantis	STRFKR	Miracle Mile	10
The Glass Traditions	Mystery Pills	Mystery Pills - EP	1
The Fear of Charlie Sunrise	Baby Monster	Baby Monster	1
Summer Reign	Coastal Cities	Summer Reign - Single	1
Afterglow	The Crookes	Hold Fast	1
Symphonies	Dan Black	Un	1
Dream Weaver	Kid Mac	No Man's Land	3
Other Side	Kid Mac	No Man's Land	14
Rings of Saturn	TOPS	Tender Opposites	8
Way to be Loved	TOPS	Picture You Staring	1
Change of Heart	TOPS	Picture You Staring	9
Strobe (Club Edit)	deadmau5	Strobe	2
Your Ex-Lover Is Dead	Stars	Set Yourself On Fire	1
Let the Drummer Kick	Citizen Cope	Citizen Cope	4
Life In the Rain	Quantic	The 5th Exotic	5
1940 (AmpLive Remix)	The Submarines	Honeysuckle Remixes	1
Wolf Like Me	TV on the Radio	Return to Cookie Mountain	5
Purple Yellow Red and Blue	Portugal. The Man	Evil Friends	11
In Search Of	Miike Snow	Miike Snow (Deluxe Edition)	10
18 Candles	The Sessions	The Sessions Is Listed As In a Relationship	3
Rapper's Delight	The Sugar Hill Gang	The Best Of The Sugar Hill Gang	1
Radioactive	Imagine Dragons	Night Visions	1
What's Going On	Senser	Stacked Up	5
Walking On a Dream	Empire of the Sun	Walking On a Dream	2
Shining Down (feat. Matthew Santos) [Bonus Track]	Lupe Fiasco	Lasers (Deluxe Version)	14
A Complicated Song (Parody of "Complicated" by Avril Lavigne)	"Weird Al" Yankovic	Poodle Hat	7
Ebay (Parody of "I Want It That Way" by the Backstreet Boys)	"Weird Al" Yankovic	Poodle Hat	11
White & Nerdy (Parody of "Ridin'")	"Weird Al" Yankovic	Straight Outta Lynwood	1
Bottle Up And Explode!	Elliott Smith	XO	11
Sweet Adeline	Elliott Smith	XO	1
St. Ides Heaven	Elliott Smith	Elliott Smith	9
Midnight City	M83	Hurry Up, We're Dreaming.	2
Stadium Love	Metric	Fantasies	10
The Saltwater Room	Owl City	Ocean Eyes	5
Weird Fishes / Arpeggi	Radiohead	In Rainbows	4
The Sign	Ace of Base	Ace of Base: Greatest Hits	2
All That She Wants	Ace of Base	Ace of Base: Greatest Hits	3
Don't Turn Around	Ace of Base	Ace of Base: Greatest Hits	9
Da Funk (Album Version)	Daft Punk	Da Funk	1
Op. 64: Romeo & Juliet - 0. Introduction	Lorin Maazel: Cleveland Orchestra	Prokofiev: Romeo and Juliet;Maazel	1
Prokofiev: Romeo & Juliet - Dance Of The Knights	Lorin Maazel: Cleveland Orchestra	Prokofiev: Romeo and Juliet;Maazel	11
Microlite	Trophy Wife	Microlite - Single	1
Sirens (Extended Version)	Starlings	Sirens - EP	5
Dark Arts (Radio Mix)	Starlings	Dark Arts (Deluxe Edition) [Remixes]	1
Strobe (Club Edit)	deadmau5	Strobe	2
Florida	STRFKR	Starfucker	1
