Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Intro	The xx	Baria Qureshi, Romy Madley Croft, Oliver Sim & Jamie Smith	xx (Bonus Track Version)		Alternative	4836307	127	1	1	1	12	2009	7/28/14, 7:11 PM	7/28/14, 6:46 PM	256	44100		Purchased AAC audio file			14	10/7/14, 6:59 PM	4	9/19/14, 5:56 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:The xx:xx (Bonus Track Version):01 Intro.m4a
Crystalised	The xx	Oliver Sim, Romy Madley Croft, Jamie Smith & Baria Qureshi	xx (Bonus Track Version)		Alternative	7277008	201	1	1	3	12	2009	7/28/14, 7:12 PM	7/28/14, 6:47 PM	256	44100		Purchased AAC audio file			11	10/7/14, 7:03 PM				nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:The xx:xx (Bonus Track Version):03 Crystalised.m4a
Islands	The xx	Baria Qureshi, Romy Madley Croft, Oliver Sim & Jamie Smith	xx (Bonus Track Version)		Alternative	6141736	160	1	1	4	12	2009	7/30/14, 10:23 AM	7/28/14, 8:27 PM	256	44100		Purchased AAC audio file			8	10/7/14, 7:05 PM	2	8/9/14, 1:09 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:The xx:xx (Bonus Track Version):04 Islands.m4a
The Hearse	Wampire		Curiosity		Alternative	9786057	282	1	1	1	9	2013	7/30/14, 10:23 AM	7/28/14, 8:31 PM	256	44100		Purchased AAC audio file			13	10/7/14, 7:10 PM				nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Wampire:Curiosity:01 The Hearse.m4a
Spirit Forest	Wampire		Curiosity		Alternative	6785512	190	1	1	3	9	2013	7/30/14, 10:22 AM	7/28/14, 8:32 PM	256	44100		Purchased AAC audio file			13	10/7/14, 7:13 PM	1	9/19/14, 9:45 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Wampire:Curiosity:03 Spirit Forest.m4a
Giants	Wampire		Curiosity		Alternative	8876825	249	1	1	4	9	2013	7/30/14, 10:23 AM	7/30/14, 10:07 AM	256	44100		Purchased AAC audio file			11	10/7/14, 7:18 PM				nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Wampire:Curiosity:04 Giants.m4a
The Amazing Heart Attack	Wampire		Bazaar		Alternative	7606814	211	1	1	1	9	2014	10/29/14, 9:20 AM	10/28/14, 8:17 PM	256	44100		Purchased AAC audio file								nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Wampire:Bazaar:01 The Amazing Heart Attack.m4a
Rawnald Gregory Erickson the Second	STRFKR		Starfucker		Alternative	6358463	173	1	1	5	11	2008	7/30/14, 10:22 AM	7/29/14, 8:12 PM	256	44100		Purchased AAC audio file			11	10/7/14, 7:20 PM				nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:STRFKR:Starfucker:05 Rawnald Gregory Erickson the Second.m4a
Florida	STRFKR		Starfucker		Alternative	8393614	230	1	1	1	11	2008	7/30/14, 10:22 AM	7/30/14, 9:55 AM	256	44100		Purchased AAC audio file			11	10/7/14, 7:28 PM	1	8/28/14, 12:12 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:STRFKR:Starfucker:01 Florida.m4a
German Love	STRFKR		Starfucker		Alternative	7586856	212	1	1	2	11	2008	7/30/14, 10:22 AM	7/30/14, 9:56 AM	256	44100		Purchased AAC audio file			11	10/7/14, 8:00 PM				nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:STRFKR:Starfucker:02 German Love.m4a
Atlantis	STRFKR		Miracle Mile		Alternative	5614919	151	1	1	10	15	2013	11/8/14, 2:17 PM	11/8/14, 2:16 PM	256	44100		Purchased AAC audio file								nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:STRFKR:Miracle Mile:10 Atlantis.m4a
The Glass Traditions	Mystery Pills		Mystery Pills - EP		Alternative	10672515	300	1	1	1	5	2012	6/1/14, 7:17 PM	6/1/14, 5:00 PM	256	44100		Purchased AAC audio file			21	10/8/14, 9:42 AM	3	8/4/14, 3:35 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Mystery Pills:Mystery Pills - EP:01 The Glass Traditions.m4a
